mall_name,full_address,latitude,longitude
The Poiz,THE POIZ RESIDENCES,1.331450866,103.8683717
Thomson Plaza,6J MARIGOLD DRIVE THOMSON PLAZA SINGAPORE 576405,1.354325242,103.8303281
"United Square, The Kids Learning Mall","101 Thomson Rd, Singapore 307591",1.3172768,103.8436682
Velocity,238B THOMSON ROAD VELOCITY @ NOVENA SQUARE SINGAPORE 307685,1.319295425,103.8441914
Wheelock Place,501 ORCHARD ROAD WHEELOCK PLACE SINGAPORE 238880,1.30453636,103.8307142
Wisma Atria,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877,1.303698907,103.8331896
Zhongshan Mall,20 AH HOOD ROAD ZHONGSHAN MALL SINGAPORE 329984,1.326945045,103.8465544
White Sands,1 PASIR RIS CENTRAL STREET 3 WHITE SANDS SINGAPORE 518457,1.372398981,103.9497492
Downtown East,DOWNTOWN EAST,1.377775842,103.9547736
Century Square,2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509,1.352361131,103.9437848
Tampines 1,10 TAMPINES CENTRAL 1 OCBC TAMPINES 1 SINGAPORE 529536,1.354315565,103.9450195
Tampines Mall,4 TAMPINES CENTRAL 5 TAMPINES MALL SINGAPORE 529510,1.352580252,103.9446962
Our Tampines Hub,1 TAMPINES WALK OUR TAMPINES HUB SINGAPORE 528523,1.353101202,103.9408486
Changi Airport,CHANGI AIRPORT MRT STATION EXIT B,1.357220256,103.9873046
Changi City Point,5 CHANGI BUSINESS PARK CENTRAL 1 CHANGI CITY POINT SINGAPORE 486038,1.334036379,103.9629176
Djitsun Mall Bedok,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,1.326053199,103.9296046
Eastpoint Mall,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,1.342586441,103.9530723
Bedok Mall,311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360,1.324668974,103.9294055
Bedok Point,799 NEW UPPER CHANGI ROAD BEDOK POINT SINGAPORE 467351,1.324801026,103.932384
Paya Lebar Square,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051,1.318675756,103.8925506
Singapore Post Centre,10 EUNOS ROAD 8 SINGAPORE POST CENTRE SINGAPORE 408600,1.318871844,103.8947671
PLQ Mall,10 PAYA LEBAR ROAD PLQ MALL SINGAPORE 409057,1.317482311,103.8928322
KINEX,11 TANJONG KATONG ROAD KINEX SINGAPORE 437157,1.314692135,103.8944805
112 Katong,112 EAST COAST ROAD 112 KATONG SINGAPORE 428802,1.305086818,103.9050989
Parkway Parade,80 MARINE PARADE ROAD PARKWAY PARADE SINGAPORE 449269,1.301080033,103.9052818
City Plaza,810 GEYLANG ROAD CITY PLAZA SINGAPORE 409286,1.314805223,103.8934183
Katong Square,88 EAST COAST ROAD KATONG SQUARE SINGAPORE 423371,1.304853371,103.9045742
Katong V,30 EAST COAST ROAD KATONG V SINGAPORE 428751,1.303850304,103.9028504
Kallang Wave Mall,1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,1.303843272,103.8727507
Leisure Park Kallang,5 STADIUM WALK LEISURE PARK KALLANG SINGAPORE 397693,1.302337453,103.8764492
East Village,EAST VILLAGE,1.331778949,103.9462367
Elias Mall,623 ELIAS ROAD ELIAS MALL SINGAPORE 510623,1.377828766,103.9423643
Loyang Point,259 PASIR RIS STREET 21 LOYANG POINT SINGAPORE 510259,1.36645364,103.9645985
The Flow,66 EAST COAST ROAD THE FLOW SINGAPORE 428778,1.30455858,103.9042117
Jewel Changi Airport,78 AIRPORT BOULEVARD JEWEL CHANGI AIRPORT SINGAPORE 819666,1.360331745,103.9896703
888 Plaza,888 WOODLANDS DRIVE 50 888 PLAZA SINGAPORE 730888,1.437130524,103.7952899
Admiralty Place,ADMIRALTY PLACE,1.439880955,103.801791
AMK Hub,53 ANG MO KIO AVENUE 3 AMK HUB SINGAPORE 569933,1.369223214,103.8484679
Causeway Point,1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099,1.436088677,103.78601
Broadway Plaza,4190 ANG MO KIO AVENUE 6 BROADWAY PLAZA SINGAPORE 569841,1.371936464,103.8459738
Djitsun Mall,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,1.326053199,103.9296046
Jubilee Square,61 ANG MO KIO AVENUE 8 UOB JUBILEE SQUARE SINGAPORE 569814,1.371785586,103.8478376
Junction 9,18 YISHUN AVENUE 9 JUNCTION NINE SINGAPORE 768897,1.433031982,103.8416008
Marsiling Mall,4 WOODLANDS STREET 12 MARSILING MALL HAWKER CENTRE SINGAPORE 738623,1.433512535,103.7797469
Northpoint City,1 NORTHPOINT DRIVE NORTHPOINT CITY SINGAPORE 768019,1.428035852,103.8360921
Sembawang Shopping Centre,604 SEMBAWANG ROAD SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,1.441853253,103.8248324
Sun Plaza,30 SEMBAWANG DRIVE SUN PLAZA SINGAPORE 757713,1.448226538,103.8194621
Wisteria Mall,598 YISHUN RING ROAD WISTERIA MALL SINGAPORE 768698,1.417999263,103.8412365
Woodlands Mart,768 WOODLANDS AVENUE 6 WOODLANDS MART SINGAPORE 730768,1.44564787,103.7981623
Waterway Point,83 PUNGGOL CENTRAL WATERWAY POINT SINGAPORE 828761,1.406426163,103.9022381
Compass One,1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078,1.392094156,103.89498
Hougang Mall,90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766,1.372436783,103.8937239
Heartland Mall,205 HOUGANG STREET 21 OCBC HEARTLAND MALL SINGAPORE 530205,1.359544509,103.8851691
NEX,23 SERANGOON CENTRAL NEX SINGAPORE 556083,1.350675521,103.8718616
Greenwich V,1 SELETAR ROAD GREENWICH V SINGAPORE 807011,1.387603302,103.8694236
Hougang 1,1 HOUGANG STREET 91 HOUGANG 1 SINGAPORE 538692,1.375667283,103.8794503
Hougang Green Shopping Mall,21 HOUGANG STREET 51 HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,1.379317835,103.8878471
myVillage @ Serangoon,"myVillage, 1, Maju Avenue, Serangoon Gardens, Southeast, 556679, Singapore",1.36512225,103.8650484
Oasis Terraces,681 PUNGGOL DRIVE OASIS TERRACES SINGAPORE 820681,1.402634601,103.9132706
Punggol Plaza,168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168,1.394184094,103.9129764
Rivervale Mall,11 RIVERVALE CRESCENT RIVERVALE MALL SINGAPORE 545082,1.392217327,103.9044731
Rivervale Plaza,118 RIVERVALE DRIVE RIVERVALE PLAZA SINGAPORE 540118,1.385371516,103.9018496
The Seletar Mall,33 SENGKANG WEST AVENUE THE SELETAR MALL SINGAPORE 797653,1.391393061,103.8760677
Buangkok Square,991 BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 530991,1.384334266,103.8816231
The Midtown,1187 UPPER SERANGOON ROAD THE MIDTOWN SINGAPORE 533971,1.37047941,103.8951285
Upper Serangoon Shopping Centre,756 UPPER SERANGOON ROAD UPPER SERANGOON SHOPPING CENTRE SINGAPORE 534626,1.353480883,103.8788284
Beauty World Centre,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177,1.342412642,103.7765394
Beauty World Plaza,140 UPPER BUKIT TIMAH ROAD BEAUTY WORLD PLAZA SINGAPORE 588176,1.341787998,103.7763041
Bukit Panjang Plaza,1 JELEBU ROAD BUKIT PANJANG PLAZA SINGAPORE 677743,1.379916507,103.7643171
Bukit Timah Plaza,3 JALAN ANAK BUKIT BUKIT TIMAH PLAZA SINGAPORE 588998,1.338631653,103.7785854
Fajar Shopping Centre,446 FAJAR ROAD FAJAR SHOPPING CENTRE SINGAPORE 670446,1.384005825,103.7710296
Greenridge Shopping Centre,524A JELAPANG ROAD GREENRIDGE SHOPPING CENTRE SINGAPORE 671524,1.385417687,103.7662355
Hillion Mall,17 PETIR ROAD HILLION MALL SINGAPORE 678278,1.378498681,103.7630229
HillV2,4 HILLVIEW RISE HILLV2 SINGAPORE 667979,1.363550958,103.7642361
Junction 10,1 WOODLANDS ROAD JUNCTION 10 SINGAPORE 677899,1.380605125,103.7600416
Limbang Shopping Centre,534 CHOA CHU KANG STREET 51 LIMBANG SHOPPING CENTRE SINGAPORE 680534,1.392242406,103.743191
Lot One,21 CHOA CHU KANG AVENUE 4 SHAW THEATRES LOT ONE SINGAPORE 689812,1.385069923,103.7452389
Rail Mall,448 UPPER BUKIT TIMAH ROAD THE RAIL MALL SINGAPORE 678068,1.359663035,103.7676128
Sunshine Place,475 CHOA CHU KANG AVENUE 3 SUNSHINE PLACE SINGAPORE 680475,1.377897277,103.7390155
Teck Whye Shopping Centre,137 TECK WHYE LANE TECK WHYE SHOPPING CENTRE SINGAPORE 680137,1.380047726,103.7524646
