station_name,type,lat,lng,name_with_type,travel_time,travel_distance
Bartley,MRT,1.3429229999999999,103.87966,Bartley MRT Station,2349,10506
Lorong Chuan,MRT,1.35153,103.86495699999999,Lorong Chuan MRT Station,2256,12122
Marymount,MRT,1.349089,103.839116,Marymount MRT Station,2030,11386
Caldecott,MRT,1.337649,103.83962700000001,Caldecott MRT Station,2168,12632
Botanic Gardens,MRT,1.322387,103.81490500000001,Botanic Gardens MRT Station,1667,9619
Farrer Road,MRT,1.317606,103.807711,Farrer Road MRT Station,2059,11273
Holland Village,MRT,1.311189,103.79611899999999,Holland Village MRT Station,1920,9887
one-north,MRT,1.299854,103.787584,one-north MRT Station,1904,9945
Kent Ridge,MRT,1.2936290000000001,103.784441,Kent Ridge MRT Station,1992,10659
Haw Par Villa,MRT,1.2831489999999999,103.781991,Haw Par Villa MRT Station,2097,11954
Pasir Panjang,MRT,1.276111,103.791893,Pasir Panjang MRT Station,2229,13362
Labrador Park,MRT,1.2721799999999999,103.802557,Labrador Park MRT Station,2351,14649
Telok Blangah,MRT,1.270769,103.809878,Telok Blangah MRT Station,1839,5859
Bayfront,MRT,1.2813709999999998,103.858998,Bayfront MRT Station,797,1829
Bukit Panjang,MRT,1.37834,103.762452,Bukit Panjang MRT Station,2951,19316
Cashew,MRT,1.369997,103.764569,Cashew MRT Station,2831,18235
Hillview,MRT,1.363185,103.767371,Hillview MRT Station,2756,17263
Beauty World,MRT,1.341607,103.77568199999999,Beauty World MRT Station,2196,14604
King Albert Park,MRT,1.335721,103.783203,King Albert Park MRT Station,1997,13451
Sixth Avenue,MRT,1.331221,103.79718000000001,Sixth Avenue MRT Station,1933,11874
Tan Kah Kee,MRT,1.325826,103.807959,Tan Kah Kee MRT Station,1816,10561
Stevens,MRT,1.3200120000000002,103.825964,Stevens MRT Station,1572,8399
Rochor,MRT,1.303601,103.852581,Rochor MRT Station,1223,4846
Downtown,MRT,1.27949,103.852802,Downtown MRT Station,677,971
Telok Ayer,MRT,1.2822850000000001,103.848584,Telok Ayer MRT Station,294,387
Fort Canning,MRT,1.291631,103.84462099999999,Fort Canning MRT Station,865,2073
Bencoolen,MRT,1.298477,103.84998399999999,Bencoolen MRT Station,990,3146
Jalan Besar,MRT,1.3055510000000001,103.85544300000001,Jalan Besar MRT Station,1088,3974
Bendemeer,MRT,1.313674,103.863098,Bendemeer MRT Station,1157,5186
Geylang Bahru,MRT,1.321479,103.87145699999999,Geylang Bahru MRT Station,1314,6564
Mattar,MRT,1.326878,103.88330400000001,Mattar MRT Station,1464,8283
Ubi,MRT,1.330008,103.898911,Ubi MRT Station,1797,10102
Kaki Bukit,MRT,1.335076,103.90905699999999,Kaki Bukit MRT Station,1788,11239
Bedok North,MRT,1.3352680000000001,103.918054,Bedok North MRT Station,1877,12270
Bedok Reservoir,MRT,1.336595,103.93307,Bedok Reservoir MRT Station,2092,14045
Tampines West,MRT,1.345583,103.938244,Tampines West MRT Station,2201,15625
Tampines East,MRT,1.3563100000000001,103.955471,Tampines East MRT Station,2805,18466
Upper Changi,MRT,1.3422180000000001,103.961505,Upper Changi MRT Station,2988,20790
South View,LRT,1.380299,103.745286,South View LRT Station,3362,22658
Keat Hong,LRT,1.3786040000000002,103.74905799999999,Keat Hong LRT Station,3422,23118
Teck Whye,LRT,1.376738,103.753665,Teck Whye LRT Station,3657,20690
Phoenix,LRT,1.378798,103.758021,Phoenix LRT Station,3257,19717
Senja,LRT,1.382852,103.762312,Senja LRT Station,3320,19814
Jelapang,LRT,1.386703,103.764547,Jelapang LRT Station,3536,20704
Segar,LRT,1.387713,103.769599,Segar LRT Station,3596,21412
Fajar,LRT,1.3845020000000001,103.770862,Fajar LRT Station,3656,21906
Bangkit,LRT,1.3802809999999999,103.772576,Bangkit LRT Station,2322,17041
Pending,LRT,1.376223,103.771277,Pending LRT Station,2319,17606
Petir,LRT,1.377828,103.76655,Petir LRT Station,3093,19489
Compassvale,LRT,1.394615,103.90044300000001,Compassvale LRT Station,2910,15521
Rumbia,LRT,1.391553,103.905947,Rumbia LRT Station,3030,16232
Bakau,LRT,1.38804,103.905412,Bakau LRT Station,3090,16702
Kangkar,LRT,1.3839569999999999,103.90216,Kangkar LRT Station,3030,16579
Ranggung,LRT,1.384116,103.897386,Ranggung LRT Station,2910,15755
Cheng Lim,LRT,1.396332,103.89379,Cheng Lim LRT Station,2970,15479
Farmway,LRT,1.397178,103.88916800000001,Farmway LRT Station,3030,16006
Kupang,LRT,1.3982709999999998,103.881283,Kupang LRT Station,3090,16914
Thanggam,LRT,1.397378,103.87561,Thanggam LRT Station,3150,17641
Fernvale,LRT,1.392033,103.87625600000001,Fernvale LRT Station,3150,17410
Layar,LRT,1.392141,103.880022,Layar LRT Station,3090,16944
Tongkang,LRT,1.389519,103.885829,Tongkang LRT Station,3031,16222
Renjong,LRT,1.386827,103.890541,Renjong LRT Station,2971,15629
Cove,LRT,1.399534,103.905792,Cove LRT Station,3270,17364
Meridian,LRT,1.397002,103.908884,Meridian LRT Station,3330,17803
Coral Edge,LRT,1.39392,103.912633,Coral Edge LRT Station,3390,18345
Riviera,LRT,1.39454,103.91605600000001,Riviera LRT Station,3451,18863
Kadaloor,LRT,1.399633,103.916536,Kadaloor LRT Station,3390,18388
Oasis,LRT,1.402304,103.912736,Oasis LRT Station,3330,17866
Damai,LRT,1.4052930000000001,103.908606,Damai LRT Station,3271,17301
Sam Kee,LRT,1.409808,103.90491999999999,Sam Kee LRT Station,3210,16969
Teck Lee,LRT,1.412783,103.906565,Teck Lee LRT Station,4151,18632
Punggol Point,LRT,1.416932,103.90668000000001,Punggol Point LRT Station,3330,17901
Samudera,LRT,1.4159549999999999,103.902185,Samudera LRT Station,3390,18698
Nibong,LRT,1.411865,103.90032099999999,Nibong LRT Station,3330,18189
Sumang,LRT,1.408501,103.898605,Sumang LRT Station,3271,17770
Soo Teck,LRT,1.4054360000000001,103.897287,Soo Teck LRT Station,3295,17156
