,station_name,type,lat,lng,mrt_station_code,address
120,Keat Hong,LRT,1.3786040000000002,103.74905799999999,,
121,Teck Whye,LRT,1.376738,103.753665,,
122,Phoenix,LRT,1.378798,103.758021,,
123,Senja,LRT,1.382852,103.762312,,
124,Jelapang,LRT,1.386703,103.764547,,
125,Segar,LRT,1.387713,103.769599,,
126,Fajar,LRT,1.3845020000000001,103.770862,,
127,Bangkit,LRT,1.3802809999999999,103.772576,,
128,Pending,LRT,1.376223,103.771277,,
129,Petir,LRT,1.377828,103.76655,,
130,Compassvale,LRT,1.394615,103.90044300000001,,
131,Rumbia,LRT,1.391553,103.905947,,
132,Bakau,LRT,1.38804,103.905412,,
133,Kangkar,LRT,1.3839569999999999,103.90216,,
134,Ranggung,LRT,1.384116,103.897386,,
135,Cheng Lim,LRT,1.396332,103.89379,,
136,Farmway,LRT,1.397178,103.88916800000001,,
137,Kupang,LRT,1.3982709999999998,103.881283,,
138,Thanggam,LRT,1.397378,103.87561,,
139,Fernvale,LRT,1.392033,103.87625600000001,,
140,Layar,LRT,1.392141,103.880022,,
141,Tongkang,LRT,1.389519,103.885829,,
142,Renjong,LRT,1.386827,103.890541,,
143,Cove,LRT,1.399534,103.905792,,
144,Meridian,LRT,1.397002,103.908884,,
145,Coral Edge,LRT,1.39392,103.912633,,
146,Riviera,LRT,1.39454,103.91605600000001,,
147,Kadaloor,LRT,1.399633,103.916536,,
148,Oasis,LRT,1.402304,103.912736,,
149,Damai,LRT,1.4052930000000001,103.908606,,
150,Sam Kee,LRT,1.409808,103.90491999999999,,
151,Teck Lee,LRT,1.412783,103.906565,,
152,Punggol Point,LRT,1.416932,103.90668000000001,,
153,Samudera,LRT,1.4159549999999999,103.902185,,
154,Nibong,LRT,1.411865,103.90032099999999,,
155,Sumang,LRT,1.408501,103.898605,,
156,Soo Teck,LRT,1.4054360000000001,103.897287,,
0,Woodlands North MRT Station,MRT,1.4490567019999998,103.7851052,TE1,WOODLANDS NORTH MRT STATION EXIT 2
1,Woodlands MRT Station,MRT,1.4348014830000002,103.7890906,TE2,WOODLANDS MRT STATION EXIT 6
2,Woodlands South MRT Station,MRT,1.427636527,103.7933065,TE3,WOODLANDS SOUTH MRT STATION EXIT 2
3,Springleaf MRT Station,MRT,1.397581061,103.8178569,TE4,825 UPPER THOMSON ROAD SPRINGLEAF MRT STATION SINGAPORE 787140
4,Lentor MRT Station,MRT,1.38550658,103.8357438,TE5,1 LENTOR DRIVE LENTOR MRT STATION SINGAPORE 789361
5,Mayflower MRT Station,MRT,1.371463188,103.8365678,TE6,91 ANG MO KIO AVENUE 4 MAYFLOWER MRT STATION SINGAPORE 569900
6,Sin Ming MRT Station,MRT,1.363283185,103.8328936,TE7,100 SIN MING AVENUE BRIGHT HILL MRT STATION SINGAPORE 575737
7,Upper Thomson MRT Station,MRT,1.354416434,103.8328985,TE8,1 JALAN KELI UPPER THOMSON MRT STATION SINGAPORE 577937
8,Caldecott MRT Station,MRT,1.3373472229999999,103.8395441,TE9,38 TOA PAYOH RISE CALDECOTT MRT STATION SINGAPORE 298113
9,Mount Pleasant MRT Station,MRT,1.328517954,103.8346883,TE10,MOUNT PLEASANT MRT STATION
10,Stevens MRT Station,MRT,1.320065558,103.82602440000001,TE11,92 STEVENS ROAD STEVENS MRT STATION SINGAPORE 257877
11,Napier MRT Station,MRT,1.306783078,103.818967,TE12,2 NAPIER ROAD NAPIER MRT STATION SINGAPORE 258511
12,Orchard Boulevard MRT Station,MRT,1.302422248,103.8238685,TE13,20 ORCHARD BOULEVARD ORCHARD BOULEVARD MRT STATION SINGAPORE 248654
13,Orchard MRT Station,MRT,1.303167535,103.8321716,TE14,ORCHARD MRT STATION EXIT B
14,Great World MRT Station,MRT,1.293948162,103.8337208,TE15,351 RIVER VALLEY ROAD GREAT WORLD MRT STATION SINGAPORE 238384
15,Havelock MRT Station,MRT,1.28850524,103.8335858,TE16,110 ZION ROAD HAVELOCK MRT STATION SINGAPORE 168604
16,Outram Park MRT Station,MRT,1.2802415329999999,103.8400521,TE17,300 EU TONG SEN STREET OUTRAM PARK MRT STATION SINGAPORE 059816
17,Maxwell MRT Station,MRT,1.280533298,103.8438837,TE18,50 NEIL ROAD MAXWELL MRT STATION SINGAPORE 088906
18,Shenton Way MRT Station,MRT,1.277716828,103.8503676,TE19,2 PARK STREET SHENTON WAY MRT STATION SINGAPORE 018928
19,Marina Bay MRT Station,MRT,1.2763111440000001,103.854605,TE20,21 PARK STREET MARINA BAY MRT STATION SINGAPORE 018925
20,Marina South MRT Station,MRT,1.2745547590000001,103.8635743,TE21,61 MARINA MALL MARINA SOUTH MRT STATION SINGAPORE 019397
21,Gardens By The Bay MRT Station,MRT,1.278487259,103.8674547,TE22,11 MARINA MALL GARDENS BY THE BAY MRT STATION SINGAPORE 019396
22,Founders' Memorial MRT Station,MRT,1.3375953,103.8396058,TE22A,"Caldecott MRT Station, Singapore"
23,Tanjong Rhu MRT Station,MRT,1.297265079,103.8734533,TE23,2 TANJONG RHU PLACE TANJONG RHU MRT STATION SINGAPORE 436488
24,Katong Park MRT Station,MRT,1.297947905,103.88608020000001,TE24,45 MEYER ROAD KATONG PARK MRT STATION SINGAPORE 437870
25,Amber MRT Station,MRT,1.299319257,103.8973687,TE25,2 AMBER ROAD TANJONG KATONG MRT STATION SINGAPORE 439846
26,Marine Parade MRT Station,MRT,1.302630145,103.9049619,TE26,MARINE PARADE MRT STATION
27,Marine Terrace MRT Station,MRT,1.306762679,103.9152325,TE27,MARINE TERRACE MRT STATION
28,Siglap MRT Station,MRT,1.310008551,103.9300258,TE28,SIGLAP MRT STATION
29,Bayshore MRT Station,MRT,1.313122483,103.942308,TE29,BAYSHORE MRT STATION
30,Bedok South MRT Station,MRT,1.316888941,103.94906529999999,TE30,BEDOK SOUTH MRT STATION
31,Sungei Bedok MRT Station,MRT,1.32039876,103.95724200000001,TE31,SUNGEI BEDOK MRT STATION
